period_ordered,book_id,nikh_period,level,sentence
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,"조선은 유교 중심의 새로운 정치 목표를 내세우고, 양반 관료 국가로서의 조직을 가다듬으려는 노력에 힘입어, 집권적 관료 국가로서의
틀이 잡혔다."
4. Post-war Authoritarian,ta_h21,2nd National Curriculum (1963–1973),High School,"고구려 전성기의 지도  

이와 같이 고구려가 남하 정책을 쓰자, 백제와 신라는 이에 대항하기 위하여 일종의 공수 동맹인 나⋅제 동맹을 맺게 되었다."
8. Democratic Consolidation,ta_e71,7th National Curriculum (2002–),Elementary,"나라 | 고조선 | 삼국 시대 | 통일 신라와 발해 | 고려 | 조선  
---|---|---|---|---|---  
고구려 | 백제 | 신라  
나라를 세운 사람 |  |  |  |  |  |  |   
도읍지 |  |  |  |  |  |  |   
문화재 |  |  |  |  |  |  |   
  
2\."
1. Late Chosŏn / Korean Empire,ta_p111r,Enlightenment & Daehan Empire (1895–1910),,"평양 부윤(平壤府尹) 성석린(成石璘)이 「의기도(欹器圖)」1)를, 경기좌도 관찰사(京畿左道觀察使) 이정보(李廷俌)가
『역년도(歷年圖)』2)를, 경기우도 관찰사(京畿右道觀察使) 최유경(崔有慶)이 「무일도(無逸圖)」3)를 바치니 왕께서 모두 기쁘게 받으셨다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,중앙에는 국립 대학으로 국자감(국학)이 설치되었다.
3. U.S. Military Government,ta_p51r,US Military Govt & Syllabus Period (1945–1954),,"제2장 신라의 융성과 고구려의 무위(武威)

   1\."
7. Early Democratic,ta_m62,6th National Curriculum (1995–2001),Middle School,"우리 민족은 일제의 주권 침탈에 맞서 의병의 항전, 의사⋅열사의 의거, 언론⋅외교 활동 등 을사조약 반대 투쟁을 활발히 벌였다."
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"문명의 아침은 동쪽(고려)의 하늘을 빛내고자 한다.”는 뜻의 문화적 자신감에 넘치는 시를
짓기도 하였다."
4. Post-war Authoritarian,ta_h11,1st National Curriculum (1954–1963),High School,이런 사회를 씨족(氏族)사회라고 한다.
7. Early Democratic,ta_m62,6th National Curriculum (1995–2001),Middle School,"이에 정부에서는 관리를 보내어 사태를 조사하였는데, 그 과정에서 군수의 비행에 대해서는 책임을 묻지 않고 농민들에게 모든 책임을 물어
주동자를 잡아 가두고 처벌하려 하였다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"고구려는 거듭된 전쟁으로 국력의 소모가 심하였고, 연개소문이 죽은 후에
지배층의 권력 쟁탈전으로 국론이 분열되어 있었다."
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"소경의 장관을
사신이라 하였고, 주의 장관을 군주라 하였다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"혹시 나라일로 어머니 곁을 떠나게 되면, 사흘이 멀다 하고 편지를 올렸다."
7. Early Democratic,ta_e61,6th National Curriculum (1995–2001),Elementary,"경성 우편국(오늘날의 중앙 우체국)  

대한 제국 때의 우표  

초기의 우체통  

이 자료들이 공부에 도움이 되었으면 좋겠어요."
4. Post-war Authoritarian,ta_e11,1st National Curriculum (1954–1963),Elementary,"그리고, 우리가 우리 직분을 완수하고, 다른 사람도 자기들의 맡은 바 일을 다할 때에, 모든 일이 순조로이 되어 가는 것이다."
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"발해는 옛 고구려 영토의 대부분을 차지함으로써, 신라와 함께 남북국의 형세를 이루었다."
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,"이러한 실학자들이 유교적인 바탕을 완전히 청산하지 못했고, 정치적으로 그들의 주장을 밀고 나갈 만한 위치에 있지 못하였으므로, 학문적
활동으로 끝나고 만 점은 아까운 일이 아닐 수 없다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"사간원, 사헌부는 양사 또는 대간이라 불렀는데, 간쟁과 감찰 기능을 가지고 있었다."
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,"연극은 대중을 상대로 하고, 그 표현이 직접적이며, 우리말로 된 대사를 구사할 수 있어 일체감을 가지게
하고, 우리 것에 대한 애착심을 불러일으킬 수 있다는 장점을 가지고 있었다."
3. U.S. Military Government,ta_p51r,US Military Govt & Syllabus Period (1945–1954),,고려에 미쳐오는 그 파장도 또한 수월하지 않았다.
6. Chun / Roh Transitional,ta_h42,4th National Curriculum (1981–1987),High School,3\.
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"그러나
진에는, 고조선 사회의 변동에 따라 대거 남하해 오는 유이민에 의해 새로운 문화가 보급되어 토착 문화와 융합되면서 사회가 더욱 발전하였다."
6. Chun / Roh Transitional,ta_h41,4th National Curriculum (1981–1987),High School,"따라서, 단군 왕검은 곧 제정 일치 시대의 족장이었음을 알 수 있다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"고구려는 요하를 굳게 지켜 문제의 침략을 막아 냈고, 백만이 넘는 대군을 이끌고 침략해 온 양제의 군대를 크게 격파하는 결정적 승리를
거두기도 하였다(살수 대첩, 612)."
1. Late Chosŏn / Korean Empire,ta_p82r,Enlightenment & Daehan Empire (1895–1910),,"김옥균과 박영효(朴泳孝)가 일본으로 도피하다

김옥균(金玉均)과 박영효 등은 모두 일본(日本)으로 도망하였다."
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"특히, 유교의 윤리를 존중하여 왕실에 대한 모반죄와 부모에 대한 불효죄는 엄중히 다스렸으며, 관리들에게는 부모를 위한 여러 가지 휴가제가
마련되어 있었다."
7. Early Democratic,ta_m62,6th National Curriculum (1995–2001),Middle School,"북한 공산 집단의 남침으로
우리 민족은 6⋅25 전쟁의 시련을 겪었으나, 이를 극복하면서 새로운 역사의 발전을 위해 노력해 왔다."
6. Chun / Roh Transitional,ta_e42,4th National Curriculum (1981–1987),Elementary,"공부할 문제

1\."
6. Chun / Roh Transitional,ta_e42,4th National Curriculum (1981–1987),Elementary,"구석기(좌)와 신석기(우)  

조상들이 사용하던 연모나 그들이 살았던 흔적을 유물 또는 유적이라고 하는데, 문자가 없던 시대의 생활 모습은 이와 같은 유물과 유적으로 밝혀
내고 있다."
4. Post-war Authoritarian,ta_h21,2nd National Curriculum (1963–1973),High School,"지석영은 1879년 우두법을
체득하여, 이의 보급에 헌신함으로써 국민 보건에 커다란 공헌을 남겼다."
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,"일제의 민족 말살 정책

우리 나라는 일제의 대륙 침략이 감행되면서 그들의 병참 기지로 되어 갔다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"도움글

⋅ 고부 군수 조병갑의 비리 ⋅

조병갑은 전에도 고부 군수를 지낸 일이 있어 두 번이나 고부 군수가 된 사람이었다."
3. U.S. Military Government,ta_p61r,US Military Govt & Syllabus Period (1945–1954),,"백제와 신라의 교육 기관은 전하지 않으나, 또한 상당한 교육기관이 있었으므로 백제에는
오경 박사와 의·역 박사 등 전문가가 많이 나타났다."
6. Chun / Roh Transitional,ta_e41,4th National Curriculum (1981–1987),Elementary,"해인사의 팔만대장경  

금속 활자는 고려 시대에 처음 만들었으나, 널리 활용한 것은 조선 초기이다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"후세에 그들의 의로움을 칭찬하여, 성삼문 등 여섯 사람을 육신(六臣)이라고 불렀다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"예언 사상으로는 이씨 왕조가 망하고 정씨 왕조가 들어선다는 정감록의 예언 사상, 미래불인 미륵불이 지상 세계에 내려와서 중생을 구원한다는
미륵 신앙, 이 세상이 멸망하고 새로운 세상이 열린다는 후천 개벽 사상 등이 널리 유행하였다."
4. Post-war Authoritarian,ta_h21,2nd National Curriculum (1963–1973),High School,"그는 유⋅불⋅선 3교에 터전한 인내천의
사상을 창도하였다."
2. Colonial,ta_p32r,Japanese Colonial (1910–1945),,9 | 성종(成宗) | 25 | 왕의 즉위 이후 불교가 점차 쇠퇴했다.
4. Post-war Authoritarian,ta_m11,1st National Curriculum (1954–1963),Middle School,"이것은 적군에게 조총(鳥銃)이란 새 무기가 있었던
까닭이다."
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,"이에, 조선에서는 통신사(通信使)를 파견하였는데, 그 일행은
대개 400여 명으로 편성되었으며, 일본에서는 국빈 대우를 받았다."
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"청동기 수레 장식품의 일부분  

고조선의 변천

처음에 산뚱 반도와 북중국 방면에 있던 동이족들은, 전국 시대에 중국에서 각 지방의 소국가들을 통합하는 파동이 일어나자, 만주와 한반도로
이동해 왔다."
1. Late Chosŏn / Korean Empire,ta_p72r,Enlightenment & Daehan Empire (1895–1910),Elementary,○ 겨울 12월에 최우(崔瑀)를 올려서 진양공(晉陽公)에 봉하고 식읍을 더해 주었다.
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"[2] 암행어사의 출두(신분을 밝히고 공식적인 조사 시작)

⋅ 출두는 파견 대상 주현의 관아에 하며, 시간의 제한은 없다."
1. Late Chosŏn / Korean Empire,ta_p91r,Enlightenment & Daehan Empire (1895–1910),Elementary,숙종 46년(1720)에 왕이 승하【나이 60세】하시니 세자가 즉위하셨다.
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,4\.
7. Early Democratic,ta_e61,6th National Curriculum (1995–2001),Elementary,갑오개혁은 우리 나라가 근대적인 국가로 발전하는 계기가 되었다.
6. Chun / Roh Transitional,ta_m42,4th National Curriculum (1981–1987),Middle School,"일부 선각자들은 근대 의식을 바탕으로 하여, 자주 독립 운동과 자주⋅민권 운동을 전개하였다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,이것은 그가 처음으로 일본에 간 것이다.
7. Early Democratic,ta_e61,6th National Curriculum (1995–2001),Elementary,"(3) 역사를 빛낸 조상들

   [1] 세종 대왕과 장영실
   [2] 허준과 박지원
   [3] 최무선과 이이
   더 공부해 보기

 [1] 세종 대왕과 장영실

우리 문화 발전에 공이 큰 조상들에 대하여 조사해 보고, 그분들의 업적을 알아보자."
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"이 법에 의하면, 농가 매호에 영업전(永業田)이라 하여 일정한 농지를
지정해 주고, 그 매매를 금하였으나, 그 밖의 토지는 매매를 허락하여 점진적으로 토지 소유의 평등을 이루도록 되어 있다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"이러한
상황에서 천주교와 동학이 농촌 사회와 민중들 사이에 널리 전파되었다."
6. Chun / Roh Transitional,ta_m51,5th National Curriculum (1987–1992),Middle School,그리고 신석기인들은 농경과 더불어 멧돼지와 같은 동물을 길들여 집에서 기르기도 하였다.
7. Early Democratic,ta_m62,6th National Curriculum (1995–2001),Middle School,"조선 정부에서는 프랑스 군을 격퇴한 이후 강화도의 경비를 튼튼히 하고 있었던 때라, 어재연 등이 이끈 조선군은 광성진을 공격해 온 미군과
격렬한 전투를 벌였다."
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,"3일 유가  
과거에 장원 급제하면 3일 동안 거리를 다니면서 여러 사람에게 보이는 영광스러운 행사를 가졌다."
3. U.S. Military Government,ta_p61r,US Military Govt & Syllabus Period (1945–1954),,원각사 탑의 미술사 상의 지위를 말하여 보라.
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"고구려의 전성과 외민족과의 관계

고구려는 소수림왕 때, 고대 국가 체제를 강화하기 위하여 불교를 공인하였으며, 태학을 설립하고 율령을 반포하였다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"원효는 극락에 가고자 하는 아미타 신앙을 자신이 직접 전도하며 불교 대중화의 길을 열었고, 의상은 아미타 신앙과 함께 현세에서 고난을
구제받고자 하는 관음 신앙을 이끌었다."
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,"서인은 장기간 집권하였는데, 숙종
때에 이르러 분파되었다."
1. Late Chosŏn / Korean Empire,ta_p82r,Enlightenment & Daehan Empire (1895–1910),,또 날씨가 점차 추워져서 군사들을 경상도 남쪽으로 퇴각하게 하였다.
1. Late Chosŏn / Korean Empire,ta_p72r,Enlightenment & Daehan Empire (1895–1910),Elementary,"이때에 왕이 사람을 쓰는 법이, 오직 가깝고 친한 사람과 함께 정사를
의논하고 참관(參官) 이상은 이조[政曹]에 분부하여 봉하니 이를 ‘하점(下點)’이라고 하였다."
3. U.S. Military Government,ta_p51r,US Military Govt & Syllabus Period (1945–1954),,"그 조약에 의하여 조선의 독립을 완전히 승인하고 청국은
요동반도를 일본에 주기로 하였다."
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,"부족 국가의 지도  

부여의 생활

부여는 만주 쑹화 강 상류 지방의 넓은 평야에 자리잡고 일찌기 여러 부족을 합쳐 나라를 이룩하였다."
1. Late Chosŏn / Korean Empire,ta_p111r,Enlightenment & Daehan Empire (1895–1910),,"인조 27년(1649)

27년(1649)에 원손(元孫)을 왕세손(王世孫)으로 책봉하셨다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"그러면서도 정치 권력은 귀족들이 독점하고 있는
중서 문하성과 중추원의 재신과 추밀에게 집중시켰다."
6. Chun / Roh Transitional,ta_h42,4th National Curriculum (1981–1987),High School,"그 가운데서도 상하이에서 조직된 독립 지사들의 모임인 신한 청년단이 김규식을 민족 대표로 선정하여 한국인의 독립 열의를
파리 회의에 호소하도록 한 것은 큰 성과 중의 하나였다."
1. Late Chosŏn / Korean Empire,ta_p111r,Enlightenment & Daehan Empire (1895–1910),,"상이
황태자에게 전위(傳位)하셨다."
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,"노비에는 관청에 소속된 관노비와, 개인이 소유한 사노비가
있었다."
1. Late Chosŏn / Korean Empire,ta_p23r,Enlightenment & Daehan Empire (1895–1910),Public schools,【명릉(明陵)에 장사지냈다.
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,이어 1971년에는 대한 적십자사가 북한에 대하여 남북한의 이산 가족 찾기를 위한 남북 적십자 회담을 제의하였다.
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"문화의 새 기운

   (1) 실학의 발달
   (2) 철학의 발달
   (3) 문학, 예술의 새 경향
   (4) 신앙의 새 경험과 사회의 동요

【개요】

조선 후기의 사회 변동과 계층 분화에 대응하여 새로운 문화 변동이 일어났다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"때마침 6월 2일에 오다 노부나가가 그의 신하인 아케치 미츠히데(明智光秀)에게 교토(京都) 혼노지(本能寺)에서 피습을 당하자,
마침내 불을 질러 자살하였다는 비보가 히데요시의 진영에 도달하였다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"거문도 사건

갑신정변이 실패로 끝난 후, 청은 우리 나라의 정치 및 외교에 대해 더욱 심한 간섭을 하였다."
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,"경제 생활

삼국 시대에 이르러서는 농업 생산이 크게 늘어났다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"【일본에서는 쇼우코(稱光) 천황 오에이(應永) 26년에 해당하며, 당시 왜구의 침범을 몽고·고려·남만(南蠻) 연합군이 침략해 온
것으로 착각하여, 겐코(元寇) 이래의 가이코(外寇)라고 일컬었다.】 이 달에 조선은 병조판서 조말생(趙末生)을 쓰시마에 파견하여 화친을
논의하고, 도주(島主) 소 사다모리(宗貞盛)는 이에 응하여 가신(家臣)을 조선에 파견하였으므로, 양국의 관계는 곧바로 예전대로 회복되었다."
4. Post-war Authoritarian,ta_h21,2nd National Curriculum (1963–1973),High School,고려 시대 우리 민족과 이민족과의 교섭을 도표로 나타내 보자.
1. Late Chosŏn / Korean Empire,ta_p21r,Enlightenment & Daehan Empire (1895–1910),Public schools,이 때 고구려 백성들이 굶주려 서로 잡아먹는 상황이었다.
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,4.
7. Early Democratic,ta_e61,6th National Curriculum (1995–2001),Elementary,“한평생 싸움터에서 살았지만 이번같이 비참한 꼴을 당하기는 처음이다.
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"헌종은 나이가 어려
순조의 비(妃)인 순원왕후(純元王后) 김씨가 수렴청정하였으며 6년이 되어 이를 거두었다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"포석정  

안압지  

한편, 농업이나 목축업뿐만 아니라 수공업도 성하여, 견직물, 마직물의 방직 기술과 금⋅은 세공, 나전 칠기 등의 공예품 제조 기술이
발달하였다."
6. Chun / Roh Transitional,ta_h41,4th National Curriculum (1981–1987),High School,"이 고려 대장경은 오늘날까지 해인사에 보관되어 오는데, 그
경문 교정이 정확하여 학술적 가치가 대단히 높다."
2. Colonial,ta_p32r,Japanese Colonial (1910–1945),,"조선의 문화
   5\."
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,4\.
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,정조는 각 붕당의 주장이 옳은지 그른지를 명백히 가리는 적극적인 탕평책을 추진하여 영조 때에 세력을 키워 온 척신과 환관 등을 제거하였다.
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,김씨가 왕위 세습권을 독점하게 되면서 왕권의 강화를 표시하기 위해 대군장이라는 의미의 마립간으로 바뀌었다.
1. Late Chosŏn / Korean Empire,ta_p22r,Enlightenment & Daehan Empire (1895–1910),Public schools,"왕이
승선(承宣)에게 명하여 타이르자 이에 모두 체두머리[剃頭]를 하였다."
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,"이와 같이, 막강한 권한이 총독에게 부여된 것은, 한민족의 독립 운동을 철저히 탄압하려는 데 그 목적이 있었다."
2. Colonial,ta_p41r,Japanese Colonial (1910–1945),,"그 후 약 50년이 지나, 중국은 서진(西晉) 말기에 이르렀는데, 이른바 오호십육국(五胡十六國)의 난이 일어나, 여러
오랑캐족들이 번갈아 가며 일어나 나라를 세우자, 고구려는 중국의 위력이 쇠약해진 틈을 타 그 군령(郡領)을 잠식했다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"영조는 세손을 크게 총애하였는데 51년에 왕은 이미 80세가 넘어 기력이 점차 쇠하였으므로 세손에게 명하여 정사를 대신하도록
하였다."
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,궁지에 몰린 농민들과 몰락 양반들은 이 같은 가혹한 상황에서 새로운 활로를 모색하게 되었다.
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,"한편 혼란된 고려 사회에서 최하의 계급으로 천대와 멸시를 받아 오던 노예
계급까지도 자신의 지위를 향상시키기 위하여 난을 일으켰으며, 또 괴로움에 허덕이던 농민들도 각지에서 민요(民擾)를 일으켰다."
4. Post-war Authoritarian,ta_m11,1st National Curriculum (1954–1963),Middle School,해아만국평화회의.
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"그러나 지배층 사회에서는 남북조 시대의
중국 문화의 영향을 받아 보다 세련되고 다채로운 귀족 문화가 등장하게 되었다."
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,조선 초기의 대표적 공예품은 자기이다.
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,조선 초의 한문학은 이러한 정신적 바탕 위에서 발전되었다.
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"연합군은 얄타 밀약으로 현재 우리 민족의
비극의 씨앗인 38도선의 군사 경계선을 합의하고, 그에 따라 남북한에 미군과 소군을 각기 진주시켰던 것이다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"이에 따라 마산, 이리(익산)에 수출 자유 지역이 만들어져 많은 외국인 기업이 들어섰다."
2. Colonial,ta_p41r,Japanese Colonial (1910–1945),,"충선왕(忠宣王) 【제26대】 은 원나라에 있으면서
만권당(萬卷堂)을 짓고 내외의 학자들을 불러모았다."
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,"그러는 동안에
그들의 지위가 상승하여 영국의 의회나 프랑스의 삼부회 같은 신분제 의회에서 귀족 및 성직자들과 함께 국정에 참여하게 되었다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"고종은
이 책의 내용에 큰 관심을 가지고 서양과 수교하려는 뜻을 가졌으며, 이를 복사하여 관리와 유생들에게 배포하도록 하였다."
6. Chun / Roh Transitional,ta_m51,5th National Curriculum (1987–1992),Middle School,그러나 조선은 왜란의 상처가 미처 아물기도 전에 또 다시 만주의 새 지배자로 등장한 여진족으로부터 침략을 받게 되었다.
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,호남 지방에서 일어난 견훤(甄萱)은 전주 지방에서 후백제라는 나라를 일으키고 신라를 자주 공격하였다.
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,"그리고, 통일 신라는 넓어진 영토를 지키기 위하여 군사 조직을 강화하였다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"그러나 공민왕 때 크게 진출한 신진 사대부 세력은 그 후 개혁을 꾸준히 추진하게 되었고, 이 과정에서 고려가 멸망하고 조선 왕조가
건국되었다."
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,"셋째, 인내의 고통을 감내하면서도 묵묵히 창조와 헌신을 다했던 조상들의 얼을 귀중하게 여길 수 있어야 한다."
7. Early Democratic,ta_m62,6th National Curriculum (1995–2001),Middle School,"이 난은 비록 실패하였으나, 농민들이 각성하는 계기가 되어 그 뒤의 농민 봉기에 커다란 영향을 주었다."
1. Late Chosŏn / Korean Empire,ta_p22r,Enlightenment & Daehan Empire (1895–1910),Public schools,○ 찬성사(贊成事) 안유(安裕)가 졸하였다.
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,"아프리카와 서남 아시아에 일어났던 오리엔트 여러 나라들이 문화의 꽃을 그리이스에 넘겨 주었고, 그리이스는 이것을 다시 발전시켜 로마에 넘겨
주었다."
2. Colonial,ta_p32r,Japanese Colonial (1910–1945),,"| 1897  
2560 | 메이지 천황 | 메이지 33년 11월 12일  
12월 22일 | 이태왕 | 광무  
4년 | 경성과 인천 간의 철도가 완전히 개통되었다."
6. Chun / Roh Transitional,ta_h41,4th National Curriculum (1981–1987),High School,문화가 발전하면서 문화가 선진한 부족들은 아직 후진한 문화에 머무르고 있던 씨족 사회들을 통합하기 시작하였다.
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,송악 출신의 왕건은 궁예의 신하였는데.
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,"이후, 한국 경제는 전쟁의 피해를 복구하면서 공업화를 지향해 나갔다."
6. Chun / Roh Transitional,ta_h42,4th National Curriculum (1981–1987),High School,"을사조약 체결의 진상이 폭로되자, 일제의 침략을 규탄하고 조약의 파기를 주장하는 운동이 전국적으로 일어났다."
1. Late Chosŏn / Korean Empire,ta_p102r,Enlightenment & Daehan Empire (1895–1910),,"그 후에 태조께서 정종께 왕위를 물려주시자 정종께서 권근(權近)의 논의를 따라 여러 공신의 집안에서 보유하고 있던 사병(私兵)을 혁파하고,
재위하신 지 2년 만에 태종께 왕위를 넘겨주셨다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,우리 조상들은 여가를 뜻있게 보내기 위해서 여러 가지 궁리를 하였다.
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"이리하여 수많은
명사(名士)들이 피해를 입었다."
1. Late Chosŏn / Korean Empire,ta_p22r,Enlightenment & Daehan Empire (1895–1910),Public schools,【원나라에서 기철을 요양성 평장 대사도(遼陽省平章大司徒)에 제수하였다.
1. Late Chosŏn / Korean Empire,ta_p81r,Enlightenment & Daehan Empire (1895–1910),,"진덕여왕(眞德女王)은
하정례(賀正禮)3)를 정하고, 문무왕(文武王)은 백관과 주군에 구리로 만든 인장(印章)을 반포하였다."
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,"그런데 3⋅1 운동은 확산되는 과정에서 대체로 3단계의 양상을
띠었다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"조광조의 글씨  

조광조 등은 왕도 정치의 이상을 실현하기 위하여 현량과(賢良科)를 실시하여 인물 중심으로 사림을 등용하였으며, 삭훈 문제를 내세워 훈구
세력을 제거하는 데 적극성을 띠었다."
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,"오늘의 세계와 우리의 사명

달 탐사 로케트의 발사 광경  

▣ 이 단원의 공부를 위하여 ▣

20세기에 세계는 두 번의 세계 대전을 겪는 등 세계사는 새로운 국면을 맞이하게 되었다."
1. Late Chosŏn / Korean Empire,ta_p72r,Enlightenment & Daehan Empire (1895–1910),Elementary,"○ 여름 4월에 공주가 왕비 조씨(趙氏)가 전적으로 왕의 총애를 받는 것을 질투하여 원(元)나라 태후에게 호소하며 말하기를, “조비(趙妃)가
저주하여 왕으로부터 사랑을 받지 못하게 합니다.”라고 하였다."
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,"이집트에서 실권을 장은 낫세르가 아랍 연맹을 이끌어 나가면서 영국과 프랑스에
대립하기도 하였다."
4. Post-war Authoritarian,ta_h11,1st National Curriculum (1954–1963),High School,"그러나, 궁중에서는 이 새로 된 문자로써 여러 가지 책을 내놓았다."
1. Late Chosŏn / Korean Empire,ta_p71r,Enlightenment & Daehan Empire (1895–1910),Elementary,"그러나 이때에 이르러 말갈이 갑자기 성으로 들이닥쳤으므로 소나가 칼을 빼어 들고 크게
소리치며 적진을 향해 돌격하던 중 수많은 화살이 그에게 집중되어 죽었다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"한편, 대한제국은 외세의 침략에 대항하여 자주적으로 국가를 지키기 위해 군제를 개편하여 궁궐과 서울을 지키는 군대를 증강하였고, 지방에도
군대를 주둔시켰다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"정국이 안정되자, 영조는 민생 안정과 산업 진흥을 위한 개혁을 추진하였다."
1. Late Chosŏn / Korean Empire,ta_p102r,Enlightenment & Daehan Empire (1895–1910),,"그 후에 당포(唐浦)에서 큰 전투를 벌여 적의 장수를 활로 쏘아 죽이고 적선을 모두 불태웠으며,
또 전라 수사 이억기(李億祺)와 더불어 고성(固城) 전포(前浦)에서 적의 장수를 쏘아 죽이고 적선 30여 척을 크게 격파하니, 군사들의
함성이 크게 진동하였다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,1960년대 후반에는 과학 기술처가 창설되어 과학 기술 진흥을 선도하였다.
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,"향가는 국가의 태평과 부처의 은덕을 나타내는 내용이 많은데, 통일 신라인들의 시가 문학의 솜씨를 잘 나타내고 있다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,2\.
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,농민의 생활을 추론해 보자.
3. U.S. Military Government,ta_p51r,US Military Govt & Syllabus Period (1945–1954),,아!
3. U.S. Military Government,ta_p61r,US Military Govt & Syllabus Period (1945–1954),,② 실지 실용의 학풍은 어떻게 하여 일어났으며 이들 학자들은 어떻게 나라에 공헌하였는가?
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"그런데 태조는 왕 씨를 복위시키려고 모의하는 자가 나올
것을 염려하여, 신하들의 의견을 받아들여, 명령을 내려 요와 그의 일족을 살해하였다."
