period_ordered,book_id,nikh_period,level,sentence
4. Post-war Authoritarian,ta_e21,2nd National Curriculum (1963–1973),Elementary,"그러므로, 이 나라들은
오늘날에 민주주의를 가장 잘 꽃 피운 나라로서 모범이 되고 있다."
7. Early Democratic,ta_m62,6th National Curriculum (1995–2001),Middle School,"학자는 물론이고 정치가들까지도 성리학에 몰두하여 성리학만이 옳고 그 밖의 학문은 모두 그르다는 생각에
빠져 있었다."
1. Late Chosŏn / Korean Empire,ta_p102r,Enlightenment & Daehan Empire (1895–1910),,"중종 때에는 쓰시마 섬[對馬島]의 도주(島主) 소
요시모리[宗義盛]가 우리나라가 자신들의 사신을 받아들이지 않았다는 이유로 소 모리히로[宗盛弘] 로 하여금 병사 300명을 거느리게 하여
3포(浦)에 거류하고 있던 일본인과 힘을 합쳐 부산(釜山)의 제포(薺浦)를 노략질하고, 동래(東萊)를 포위하였으며, 웅천(熊川)【지금의
창원(昌原)】을 함락하였다."
1. Late Chosŏn / Korean Empire,ta_p111r,Enlightenment & Daehan Empire (1895–1910),,왕께서 “왕세자를 정한 것에 대하여 송시열이 불만족스러워하는 뜻이 너무 뻔히 드러나는구나.”라고 말씀하셨다.
6. Chun / Roh Transitional,ta_e42,4th National Curriculum (1981–1987),Elementary,"임금의 옥좌  

중앙에서는 의정부와 6조가 중심이 되어 정치를 펴 나갔다."
6. Chun / Roh Transitional,ta_h42,4th National Curriculum (1981–1987),High School,"(2) 무장 독립 전쟁

독립 전쟁의 방향

3⋅1 운동은 거국⋅거족적인 독립 운동의 분수령이 되었다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"또는 새로운 정치의
결과, 종래와 같이 부정을 마음대로 저지를 수 있는 길을 잃은 무리들의 선동에 따라 각지에서 소요가 일어난 경우가 적지 않았다."
4. Post-war Authoritarian,ta_h21,2nd National Curriculum (1963–1973),High School,"동학과는 달리
민족의 시조인 단군을 신앙의 대상으로 삼는 대종교가 1909년 이후 유포되어 외세 배격, 민족 자주 운동을 펴게 되었다."
1. Late Chosŏn / Korean Empire,ta_p22r,Enlightenment & Daehan Empire (1895–1910),Public schools,"이에 이색(李穡)이 당시 명망 있는 유학자였기 때문에 그의 말을
빌려 보려고 비밀리 물어 보았다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,조선 초기에는 고려 시대에 잦았던 도교 행사를 줄여 재정의 낭비를 막으면서도 소격서를 두어 제천 행사를 주관하게 하였다.
4. Post-war Authoritarian,ta_m11,1st National Curriculum (1954–1963),Middle School,"때마침 청에서 천주교 탄압의 소식이
들려오자, 고종 3년에 대원군도 천주교 탄압과 쇄국의 명령을 내리고, 전국적으로 교도를 찾아내어 학살하니, 우리 역사상 가장 큰 박해인 병인
박해(丙寅迫害)가 일어나 9명의 프랑스 신부와 남종삼(南鐘三) 외 수백 명 신자가 순교하였다."
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,"그러던 중, 그 곳에 살던 곰이 사람이
되기를 원하므로, 곰을 여자로 변하게 하고 그와 혼인하여 아들을 낳았으니, 이가 곧 단군 왕검이다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"이
지역은 대부분 큰 산과 깊은 계곡으로 된 산악 지대였기 때문에 농토가 부족하여 힘써 일을 하여도 양식이 부족하였다."
1. Late Chosŏn / Korean Empire,ta_p21r,Enlightenment & Daehan Empire (1895–1910),Public schools,"〔신라 선덕여왕 11년 / 고구려 보장왕 원년 / 백제 의자왕 2년〕

   기원전 749년 계묘
   기원전 748년 갑진
   기원전 747년 을사

 기원전 749년 계묘

【당 태종 정관 17년 ○ 신라 선덕여왕 11년 ○ 고구려 보장왕 원년 ○ 백제 의자왕 2년】

고구려의 개소문이 굴실(窟室) 안에서 당나라 사신을 협박하였다."
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"이 때, 고구려의 장군이었던 대조영은 고구려의 유민과 말갈족을 이끌고 지금의 길림성 돈화시 동모산에서 발해를 세웠다(698)."
2. Colonial,ta_p41r,Japanese Colonial (1910–1945),,"가까운 신하인 이차돈(異次頓)이 상주하여
말하기를, “청컨대 소신(小臣)을 참수하심으로써, 여러 사람들의 일치된 의견을 정하시옵소서.”라고 했다."
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,"그리하여 오랜 유교적 전통 사회에서
새로운 근대 사회로의 전환이 촉진되었다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,2\.
6. Chun / Roh Transitional,ta_m42,4th National Curriculum (1981–1987),Middle School,"민족의 문화 투쟁

〔학습 개요〕

일제는 대륙 침략을 감행하면서 우리 민족과 아울러 전통 문화까지 말살하려 하였다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,이후 일본과의 교류는 일시 단절되었다.
4. Post-war Authoritarian,ta_m11,1st National Curriculum (1954–1963),Middle School,"몇
년간 이를 통합할 만한 중심 세력이 없어서 흩어져 살던 차, 고구려의 옛 장군인 대조영(大祚榮)이 일어나 전부터 고구려에 붙어 살던 이
지방의 말갈족을 주로 하고, 여기에 고구려 유민을 합하여 나라를 세우니(서기 699년), 이것이 진국(震國)이며, 후의 발해(渤海)이다."
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,"판매를 위해 제품을 생산하는
민영 수공업은 주로 도시를 중심으로 하여 발달하였지만, 점차 농촌에서도 나타났다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"특히, 신문왕
때에는 이와 같은 배경에서 정치 제도와 지방 조직, 군사 제도 등을 정비함으로써 전제 왕권의 확립을 제도적으로 뒷받침하였다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"즉, 금이 쇠약한 틈을 타서 거란족이 반란을 일으킨데다가, 칭기즈칸이 통일한 몽고가 금을 공격하여 만주 지역은
매우 어수선하였다."
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,3.
